ff-2fort,a
h4rdcore,d
turtler,a
ff-destroy3,a
32smooth,a
ff-schtop,n
ff-swoop,n
2night3,a
blitzkrieg2,a
pineapple_b2,a
tf2day_b1,a
frozen1,n
lastresort2,n
bam5_b2,d
well7_b2,n
mbasesr,d
ff-phantomr,a
2fort5r,a
